,emp_title,emp_length,state,homeownership,loan_amount,term,interest_rate
8814,educator,6.0,CA,RENT,30000,36,11.99
8815,auto worker,10.0,DE,MORTGAGE,5000,36,5.32
8816,corporate operations director,10.0,FL,MORTGAGE,10000,60,12.61
8817,help desk technician,0.0,MO,RENT,4200,36,10.42
8818,aid,5.0,CA,MORTGAGE,16025,60,23.88
8819,accounting spe,2.0,TX,RENT,10000,36,6.72
8820,,,CO,MORTGAGE,10000,60,14.07
8821,,,MI,OWN,17000,60,9.44
8822,machinist/manager,10.0,MO,RENT,10000,36,17.09
8823,assistant dir rn,7.0,CA,MORTGAGE,28800,60,12.62
8824,elementary building engineer ,10.0,CO,MORTGAGE,30000,36,19.42
8825,houskeepeng ,2.0,NY,RENT,10000,36,10.91
8826,controller,0.0,TN,RENT,16000,60,14.08
8827,applications engineer,10.0,OK,MORTGAGE,10000,36,6.72
8828,,,NY,RENT,10000,36,10.42
8829,administrative,10.0,MI,MORTGAGE,35000,60,21.45
8830,teacher,10.0,FL,RENT,36000,60,16.01
8831,e7,10.0,FL,MORTGAGE,24000,36,11.98
8832,frame builder,5.0,NC,MORTGAGE,12000,36,13.58
8833,rn,9.0,TN,MORTGAGE,35000,60,17.47
8834,is specialist,10.0,CA,MORTGAGE,8000,36,16.02
8835,implementation tech,5.0,FL,OWN,4000,36,5.32
8836,engineer,2.0,TX,RENT,3000,36,11.98
8837,personal trainer ,1.0,FL,RENT,10000,36,13.59
8838,owner,6.0,PA,OWN,9600,36,14.08
8839,jobsite supervision,10.0,IN,MORTGAGE,6000,36,9.44
8840,social worker,10.0,NJ,OWN,16000,36,10.41
8841,consultant,4.0,MN,MORTGAGE,10500,36,9.92
8842,account executive ,10.0,VA,OWN,25000,60,15.05
8843,firefighter,10.0,OH,MORTGAGE,21600,60,9.44
8844,waitress,10.0,TX,RENT,4000,36,12.61
8845,supervisor,10.0,MD,MORTGAGE,15000,60,21.85
8846,manager,8.0,NY,RENT,22600,60,30.17
8847,talent acquisition manager,2.0,DC,RENT,15000,36,19.42
8848,teacher,10.0,FL,RENT,5000,36,10.42
8849,project engineer,10.0,VA,MORTGAGE,32000,60,14.08
8850,call center director,10.0,TX,MORTGAGE,40000,60,11.99
8851,pharmacy manager,2.0,TX,MORTGAGE,36000,36,6.08
8852,feeder driver,3.0,IL,RENT,8600,36,13.58
8853,operations mgr,5.0,AL,RENT,30000,60,10.42
8854,financial analyst,3.0,NM,MORTGAGE,18200,60,9.93
8855,manager,2.0,IN,RENT,6500,36,10.9
8856,owner,2.0,NY,MORTGAGE,27000,36,14.08
8857,corporate chef,1.0,GA,RENT,25000,36,6.07
8858,stylist,10.0,CA,RENT,30000,36,10.91
8859,manufacturing systems technician,5.0,VA,MORTGAGE,24000,36,9.44
8860,lube manager,9.0,AZ,RENT,20000,60,26.3
8861,manager,10.0,NY,OWN,10000,36,6.07
8862,teacher,7.0,TX,OWN,9000,36,11.99
8863,senior business process specialist iii,5.0,TX,OWN,32000,36,9.43
8864,mechanic,10.0,SC,OWN,20000,60,21.45
8865,owner,10.0,MA,RENT,9500,36,14.08
8866,revenue manager,6.0,FL,MORTGAGE,25000,36,9.44
8867,assistant store manager,3.0,OH,RENT,8000,36,17.09
8868,principal,4.0,TX,MORTGAGE,40000,60,21.85
8869,manager,5.0,KY,MORTGAGE,8400,36,17.09
8870,,,NV,OWN,10000,36,14.08
8871,analyst,7.0,MI,OWN,25000,36,13.58
8872,rv consultant specialist,5.0,TX,MORTGAGE,4000,36,5.32
8873,vice president,10.0,IL,OWN,10000,36,12.62
8874,,,MI,MORTGAGE,12000,36,9.44
8875,lab tech,6.0,VA,RENT,28000,60,14.07
8876,manager ,3.0,NY,RENT,8000,36,10.9
8877,owner,6.0,OK,MORTGAGE,30000,36,14.08
8878,school psychologist ,4.0,TX,MORTGAGE,6400,36,7.97
8879,accounting dept ,10.0,NY,RENT,30000,60,14.07
8880,speech pathologist,10.0,CA,MORTGAGE,20000,60,13.58
8881,quality assurane test and evaluation,10.0,MI,RENT,10000,36,6.72
8882,mitigation manager,10.0,CO,RENT,20000,60,16.02
8883,physician,1.0,AZ,MORTGAGE,20000,36,6.07
8884,sales engineer,9.0,FL,MORTGAGE,38400,36,6.72
8885,records management specialist,10.0,NY,RENT,16000,36,5.32
8886,general manager,2.0,CA,RENT,5000,36,7.96
8887,community director,8.0,FL,RENT,15000,36,20.39
8888,driver,10.0,GA,MORTGAGE,4500,36,9.93
8889,software development support,10.0,WA,MORTGAGE,16000,60,18.06
8890,quality control manager,10.0,FL,MORTGAGE,35000,36,23.88
8891,electrical ,1.0,MI,RENT,5475,36,20.39
8892,secretary,1.0,TX,RENT,6000,36,12.61
8893,loan officer,1.0,NC,RENT,14400,36,14.08
8894,accountant,7.0,MD,MORTGAGE,20000,36,10.41
8895,insurance agent,10.0,PA,RENT,10000,36,19.03
8896,cust svc,10.0,FL,RENT,10000,36,6.08
8897,cook,8.0,FL,OWN,10000,36,10.91
8898,administrative/bookkeeper,5.0,NJ,MORTGAGE,12000,36,7.35
8899,key holder,1.0,FL,RENT,10000,36,6.71
8900,sales ,10.0,OR,RENT,10000,36,10.91
8901,licensed vocational nurse,2.0,CA,RENT,7200,36,15.04
8902,,,NJ,RENT,9200,36,12.61
8903,cpa,10.0,CA,MORTGAGE,40000,36,7.35
8904,relationship banker,2.0,WA,RENT,15000,36,11.98
8905,customer service representative,10.0,IL,MORTGAGE,18000,36,14.07
8906,contract specialist,2.0,GA,MORTGAGE,3800,36,5.31
8907,accounting associate,1.0,TX,MORTGAGE,35000,36,12.61
8908,,,GA,MORTGAGE,3725,36,20.0
8909,consultant,6.0,IN,OWN,10000,36,10.9
8910,medical lab tech,5.0,VA,MORTGAGE,30000,60,25.82
8911,analyst,3.0,PA,MORTGAGE,19100,60,9.44
8912,,,NC,MORTGAGE,16000,36,6.08
8913,communications specialist ,10.0,WI,MORTGAGE,5000,36,7.96
8914,,,VA,MORTGAGE,35000,36,17.09
8915,pharm tech,0.0,TX,RENT,6000,36,10.41
8916,driver,2.0,OH,OWN,15000,36,10.9
8917,seafood manager,10.0,NJ,MORTGAGE,18000,60,17.09
8918,booth renter/stylist,3.0,SC,RENT,10000,36,11.98
8919,sr security consultant,4.0,NV,RENT,40000,60,13.59
8920,production,0.0,IN,RENT,3200,36,12.62
8921,,,OH,RENT,19200,36,18.06
8922,owner,8.0,CA,RENT,12800,36,6.71
8923,server,0.0,NH,RENT,10200,36,17.09
8924,software engineer,10.0,TX,MORTGAGE,26450,60,16.01
8925,,,FL,RENT,9000,36,10.42
8926,supervisor,7.0,NY,RENT,30000,36,18.06
8927,manager,10.0,NY,RENT,15000,36,7.35
8928,drover,2.0,MS,MORTGAGE,20500,36,12.62
8929,legal processes coordinator,2.0,IL,MORTGAGE,18000,60,9.44
8930,,,GA,MORTGAGE,20000,60,21.85
8931,owner,10.0,WA,MORTGAGE,30000,36,11.99
8932,staff accountant,3.0,NC,RENT,5000,36,7.97
8933,pta,2.0,MI,MORTGAGE,3600,36,16.01
8934,owner,10.0,TX,MORTGAGE,40000,36,9.44
8935,airline captain,10.0,GA,MORTGAGE,24000,36,9.44
8936,central indiana analogies,5.0,IN,MORTGAGE,4000,36,20.39
8937,dental assistant,10.0,TN,MORTGAGE,10000,60,10.9
8938,sps,0.0,MN,MORTGAGE,11000,36,13.58
8939,president,10.0,FL,OWN,20000,36,18.06
8940,advisor,10.0,CT,OWN,40000,60,11.98
8941,writer,5.0,CA,RENT,13500,36,5.31
8942,ceo,8.0,CA,OWN,24000,36,7.97
8943,independent contractor ,4.0,CA,RENT,30000,36,19.03
8944,city carrier assistant,1.0,WA,RENT,6000,36,6.07
8945,certified medical assistant,10.0,CA,RENT,40000,36,14.08
8946,b tech,0.0,AZ,MORTGAGE,12000,36,10.91
8947,financial analyst,1.0,NY,MORTGAGE,4000,36,6.71
8948,carpenter,10.0,CA,MORTGAGE,18000,36,10.9
8949,truck driver,6.0,AZ,RENT,9600,36,19.42
8950,technical support analyst ,3.0,GA,MORTGAGE,30000,60,25.81
8951,owner,5.0,NC,RENT,20000,36,13.59
8952,sr compensation analyst,6.0,WI,MORTGAGE,17575,36,5.31
8953,,,NH,MORTGAGE,2600,36,12.62
8954,quality assurance specialist,10.0,NH,MORTGAGE,3500,36,12.61
8955,regional credit center assistant manager,6.0,ME,RENT,25000,36,10.42
8956,,,VA,RENT,15000,36,10.91
8957,senior system engineer,10.0,IL,MORTGAGE,13175,36,21.45
8958,general manager,10.0,SC,MORTGAGE,20000,60,11.98
8959,analyst,3.0,NY,RENT,8550,36,9.93
8960,,,NY,MORTGAGE,30750,36,25.82
8961,haul truck driver,0.0,AZ,RENT,21200,36,10.42
8962,customer service advisor,2.0,MD,MORTGAGE,30000,60,19.03
8963,,,AZ,RENT,15000,36,12.61
8964,assistant vice president,7.0,NY,MORTGAGE,25975,60,21.45
8965,customer success manager,5.0,CA,RENT,19000,60,25.82
8966,teacher,3.0,IN,MORTGAGE,10000,36,6.71
8967,,,OK,OWN,4975,36,16.01
8968,strategic account director,1.0,WI,RENT,5550,36,21.45
8969,sales manager,2.0,GA,RENT,10500,36,5.32
8970,techinology cooridinator,10.0,FL,MORTGAGE,25000,36,6.72
8971,day care,1.0,NY,MORTGAGE,10000,60,12.62
8972,sr social marketing strategist,1.0,CA,RENT,15000,36,9.93
8973,driver,3.0,NY,RENT,16000,36,10.42
8974,clerk,5.0,NY,RENT,14000,36,12.62
8975,lead systems administrator ,10.0,CA,MORTGAGE,4000,36,17.09
8976,associate,2.0,TX,OWN,24000,60,28.72
8977,installer/technician,10.0,MD,MORTGAGE,14000,36,6.08
8978,pilot,10.0,TX,MORTGAGE,6500,36,10.42
8979,loan processor,5.0,SC,MORTGAGE,3200,36,16.01
8980,maintenance tech ,2.0,NC,OWN,15000,36,7.97
8981,registered nurse ,2.0,MD,OWN,19000,36,11.99
8982,software engineer,9.0,CA,MORTGAGE,22000,60,15.05
8983,branch manager,2.0,AK,RENT,11100,60,21.85
8984,sales,1.0,RI,RENT,8000,36,10.9
8985,rn clinical informatics coordinator ,3.0,AK,MORTGAGE,23000,36,5.31
8986,software developer,2.0,TX,RENT,9000,36,10.42
8987,owner ,10.0,MA,MORTGAGE,18000,36,6.07
8988,housekeeping manager,8.0,NY,RENT,12000,36,7.35
8989,regional sales manager,5.0,ID,OWN,4650,36,6.71
8990,house keeper,5.0,WA,MORTGAGE,18000,36,7.97
8991,teacher'saide,7.0,TX,MORTGAGE,6000,36,10.42
8992,,,AL,MORTGAGE,40000,60,11.99
8993,contracts manager,0.0,NC,OWN,30000,60,15.05
8994,conusultant,2.0,TX,RENT,30000,60,28.72
8995,director of career center,10.0,MT,MORTGAGE,24000,36,6.72
8996,warehouse manager,5.0,CA,RENT,9100,36,26.77
8997,production manager,10.0,GA,MORTGAGE,7000,36,6.08
8998,customer service/lpn,10.0,NJ,RENT,10000,36,16.01
8999,pm/pdm tech,10.0,CA,RENT,16000,60,19.03
9000,broker,3.0,OR,RENT,20000,36,9.44
9001,vp,3.0,NC,MORTGAGE,40000,36,9.44
9002,management & program analyst,7.0,MD,MORTGAGE,40000,36,5.31
9003,accountant,10.0,PA,OWN,9000,36,9.43
9004,corporate sales manager,2.0,NJ,MORTGAGE,7800,36,9.43
9005,server ,9.0,NV,MORTGAGE,25000,36,25.82
9006,advisor,10.0,RI,MORTGAGE,35000,60,11.98
9007,web front-end designer,2.0,CA,RENT,14000,36,7.97
9008,work yd,10.0,CT,RENT,40000,60,13.58
9009,owner,6.0,MD,MORTGAGE,13175,36,9.92
9010,military officer,10.0,CA,MORTGAGE,5600,36,16.02
9011,,,TN,MORTGAGE,25000,36,6.72
9012,software engineer,10.0,CA,MORTGAGE,25000,36,5.32
9013,assistant manager of bus schedules,10.0,NY,OWN,10000,36,7.35
9014,paraprofession,10.0,MN,MORTGAGE,12500,60,11.99
9015,financial advisor,2.0,NJ,RENT,23000,60,11.98
9016,owner ,10.0,MO,MORTGAGE,18000,36,10.91
9017,case worker,10.0,TX,MORTGAGE,10500,36,9.43
9018,nurse practitioner ,10.0,NC,MORTGAGE,20000,36,6.07
9019,clinical report writer,3.0,TX,MORTGAGE,35000,60,19.42
9020,speech pathologist supervisor,3.0,SC,MORTGAGE,40000,36,5.32
9021,mortgage underwriter,10.0,WV,MORTGAGE,10000,60,14.08
9022,plant manager,10.0,TX,MORTGAGE,15000,36,6.07
9023,schedule coordinator,10.0,CA,MORTGAGE,9125,36,15.05
9024,sr solution architect,6.0,NJ,MORTGAGE,40000,60,11.98
9025,accounting adminstrator,2.0,OR,RENT,12000,60,24.84
9026,legal assistant ,0.0,IL,MORTGAGE,8300,36,14.07
9027,court officer,0.0,NY,MORTGAGE,17150,36,12.62
9028,costing administrator,3.0,IN,OWN,3000,36,10.9
9029,general manager,0.0,VA,RENT,12000,60,17.09
9030,sr business analyst,2.0,IN,MORTGAGE,16000,60,14.08
9031,foreman,2.0,OH,RENT,11000,36,18.06
9032,property manager,10.0,VA,MORTGAGE,35000,36,10.41
9033,vice president/market manager,10.0,WV,MORTGAGE,23000,60,12.62
9034,admin,10.0,AL,MORTGAGE,12675,36,10.41
9035,blackjack dealer,1.0,CA,OWN,8000,36,9.44
9036,,,CA,OWN,5500,36,10.42
9037,logistics specialist,5.0,VA,MORTGAGE,36025,36,10.91
9038,systems engineer,6.0,TX,RENT,20000,36,13.59
9039,lead teacher,2.0,CT,OWN,15000,60,12.62
9040,supply tech,10.0,NC,MORTGAGE,4500,36,6.08
9041,export ops supervisor,10.0,FL,MORTGAGE,13000,36,9.44
9042,commercial cleaner,3.0,NC,RENT,2800,36,14.07
9043,project manager,0.0,CA,RENT,12000,36,11.99
9044,supervisor,2.0,PA,MORTGAGE,20000,60,13.59
9045,labor ,10.0,NY,OWN,3000,36,9.44
9046,director,5.0,KS,OWN,18200,36,7.96
9047,server,6.0,FL,RENT,10000,36,6.72
9048,helo crew chief,10.0,AZ,MORTGAGE,16225,60,12.62
9049,,,FL,MORTGAGE,3000,36,10.9
9050,driver,7.0,CT,RENT,6000,36,7.34
9051,carpenter,2.0,NV,MORTGAGE,15000,60,18.06
9052,senior network engineer,1.0,NJ,MORTGAGE,12000,36,21.45
9053,server,2.0,AZ,OWN,18450,36,6.71
9054,operating engineer ,3.0,NJ,RENT,5000,36,9.93
9055,supervisor front desk,10.0,WA,MORTGAGE,16600,36,7.34
9056,senior analyst,1.0,NJ,RENT,5000,36,11.99
9057,,,OH,OWN,6000,36,9.43
9058,supervising attorney,4.0,LA,RENT,10500,36,10.91
9059,crew member,1.0,MS,OWN,5000,36,9.92
9060,snr project engineer,10.0,WA,MORTGAGE,9000,36,10.41
9061,it manager,10.0,LA,MORTGAGE,30000,36,7.34
9062,,,TX,OWN,10000,36,11.99
9063,paralegal,0.0,MD,RENT,8000,36,9.93
9064,courier ,2.0,NY,RENT,13000,36,9.93
9065,psychologist,0.0,SC,RENT,2000,36,17.09
9066,data entry,10.0,MA,MORTGAGE,8000,36,6.72
9067,cashier ,2.0,IL,MORTGAGE,12000,36,6.72
9068,,10.0,IL,RENT,14300,60,13.58
9069,project manager,10.0,WA,MORTGAGE,12000,36,6.72
9070,truck driver,0.0,MI,MORTGAGE,20000,36,11.98
9071,active duty,10.0,CA,MORTGAGE,2200,36,6.08
9072,systems engineer ,1.0,VA,MORTGAGE,35000,60,19.03
9073,sales person,10.0,NV,MORTGAGE,17500,60,24.85
9074,sales consultant,7.0,MS,MORTGAGE,3500,36,14.08
9075,enterprise account executive,2.0,MA,RENT,12000,36,20.39
9076,truck driver ,2.0,FL,RENT,20000,36,10.42
9077,svp chief design officer,3.0,CA,MORTGAGE,40000,36,10.41
9078,bus monitor ,3.0,IL,OWN,25000,36,7.96
9079,passenger tire builder,6.0,IL,MORTGAGE,35000,60,19.03
9080,finance mgr,10.0,TX,MORTGAGE,25000,60,19.42
9081,supervisor ,5.0,TX,MORTGAGE,3000,36,9.93
9082,,,NH,RENT,10000,36,13.58
9083,,,NY,RENT,20000,36,10.9
9084,management analyst,10.0,VA,MORTGAGE,37025,36,7.96
9085,car hauler,10.0,MO,MORTGAGE,14900,60,10.42
9086,maintenance splicer,10.0,CA,RENT,21075,36,20.0
9087,ceiling mechanic,8.0,TN,MORTGAGE,20000,60,19.03
9088,supervisor,10.0,CA,RENT,20000,36,14.07
9089,inventory,10.0,UT,MORTGAGE,5000,36,6.08
9090,team leader,10.0,FL,MORTGAGE,10000,36,7.97
9091,shiping and receiving,1.0,CA,RENT,25000,60,23.88
9092,regional sales manager,10.0,IN,MORTGAGE,18000,36,10.42
9093,project manager,10.0,IN,RENT,12000,36,7.35
9094,utility porter,8.0,NV,MORTGAGE,5000,36,14.08
9095,tech support specialist,2.0,FL,OWN,4800,36,7.35
9096,residential ast,10.0,CT,MORTGAGE,4900,36,7.35
9097,director of operations,10.0,NJ,RENT,19000,36,13.58
9098,gs-6,4.0,VA,MORTGAGE,35000,36,16.02
9099,ceo,10.0,VT,MORTGAGE,29800,60,25.81
9100,sales assistant ,2.0,NJ,RENT,5000,36,15.04
9101,registered nurse,10.0,CA,OWN,35000,60,10.42
9102,pharmacist,10.0,NC,MORTGAGE,6000,36,13.59
9103,technician,3.0,MI,RENT,15000,36,14.08
9104,training records specialist,3.0,WA,MORTGAGE,8000,36,6.72
9105,business analyst,10.0,CT,MORTGAGE,8000,36,20.0
9106,dental hygienist,0.0,TX,RENT,18000,60,9.93
9107,division chief,10.0,CA,MORTGAGE,35000,60,7.35
9108,registered nurse,10.0,MI,MORTGAGE,15000,36,10.42
9109,security officer ,1.0,TX,MORTGAGE,30000,36,11.99
9110,senior account manager,3.0,LA,MORTGAGE,35000,36,9.93
9111,construction wireman,2.0,CA,RENT,11500,36,11.99
9112,mla,1.0,CA,RENT,20000,36,10.91
9113,asst parts dept manager,10.0,CA,RENT,9000,36,7.97
9114,retail and brand education specialist,1.0,WA,RENT,15000,60,10.9
9115,technition,3.0,NH,MORTGAGE,10000,36,6.08
9116,gaming dealer,0.0,CO,RENT,4000,36,19.42
9117,corrections officer ,1.0,NV,MORTGAGE,24000,36,13.59
9118,construction worker,0.0,AZ,OWN,7000,36,17.09
9119,project controls,4.0,TX,OWN,8000,36,14.07
9120,office assistant,10.0,SC,OWN,29975,36,20.0
9121,nutrition,4.0,CO,RENT,1200,36,19.03
9122,salon leader,10.0,IL,MORTGAGE,20000,36,9.92
9123,accountant,10.0,KS,OWN,15000,36,6.07
9124,sales,10.0,NC,MORTGAGE,10000,36,18.45
9125,manager,5.0,CA,RENT,15000,36,7.35
9126,sr mechanical engineer,1.0,MD,MORTGAGE,20000,36,7.96
9127,tv broadcaster ,4.0,CA,RENT,30000,60,14.08
9128,sr system analyst,3.0,CA,MORTGAGE,8000,36,6.08
9129,maintenance,3.0,WA,MORTGAGE,12000,36,10.42
9130,social worker,3.0,IL,MORTGAGE,10000,36,6.07
9131,,,TX,MORTGAGE,11000,36,10.91
9132,notasked,10.0,CO,RENT,10000,36,9.92
9133,senior consultant,10.0,TX,MORTGAGE,7000,36,6.08
9134,bus operator,10.0,FL,RENT,20000,60,9.43
9135,manager,10.0,OR,RENT,30000,36,7.35
9136,senior engineer,3.0,CT,RENT,17500,36,12.61
9137,body shop manager,10.0,NC,MORTGAGE,16000,36,9.93
9138,owner,2.0,IN,RENT,40000,60,15.05
9139,engineer,5.0,MI,MORTGAGE,40000,60,13.59
9140,personal banker,0.0,FL,RENT,5000,36,20.39
9141,dispatch,3.0,TX,RENT,12000,36,11.98
9142,sales representative,10.0,NC,OWN,3000,36,15.05
9143,equipment operator ,5.0,FL,RENT,4800,36,10.42
9144,labor relations specialist,10.0,DE,RENT,1550,36,9.93
9145,executive,10.0,NJ,OWN,20000,36,20.0
9146,production supervisor,10.0,MA,MORTGAGE,16000,36,11.99
9147,secretary,10.0,WA,MORTGAGE,26600,36,14.08
9148,social worker,10.0,CA,RENT,4000,36,6.71
9149,customer service manager,6.0,FL,RENT,10000,60,7.97
9150,painter,3.0,CA,RENT,30000,60,14.07
9151,lawyer/partner,10.0,FL,MORTGAGE,16000,36,5.32
9152,warehouse manager,10.0,OR,MORTGAGE,28000,36,17.09
9153,heavy equipment mechanic,3.0,NJ,RENT,20000,36,7.34
9154,,,VA,MORTGAGE,12000,60,17.09
9155,office manager,10.0,NJ,MORTGAGE,25000,60,12.62
9156,social worker ,10.0,MA,MORTGAGE,28000,60,28.72
9157,qa project coordinator,2.0,OH,OWN,12000,36,14.08
9158,senior security analyst,3.0,WV,MORTGAGE,16550,36,7.35
9159,teacher,10.0,AL,MORTGAGE,17600,60,24.84
9160,operator machine,10.0,CA,RENT,24000,60,25.82
9161,program assistant,10.0,MD,RENT,5300,36,9.43
9162,,,NE,OWN,10000,60,15.05
9163,manager,5.0,ID,MORTGAGE,11000,36,9.92
9164,shipping ,3.0,TN,MORTGAGE,7500,36,10.42
9165,hr manager,10.0,MA,MORTGAGE,15000,36,6.72
9166,accounting manager,0.0,AZ,MORTGAGE,26275,36,9.92
9167,,,NC,OWN,12000,36,12.62
9168,director,5.0,TX,MORTGAGE,16000,60,19.42
9169,,,NV,RENT,10000,36,10.91
9170,office manager,10.0,MO,OWN,20000,60,18.45
9171,sales manager,10.0,WA,MORTGAGE,24000,36,9.44
9172,occupational therapist,1.0,VA,MORTGAGE,18000,36,5.31
9173,mro purchaser,4.0,IL,MORTGAGE,10000,36,7.34
9174,signing associate,0.0,CA,MORTGAGE,13500,60,29.69
9175,quality assurance,0.0,OH,RENT,1000,36,16.02
9176,software,10.0,CA,MORTGAGE,19000,36,6.72
9177,programmer,8.0,WI,MORTGAGE,35000,60,25.81
9178,server,7.0,CA,RENT,11200,36,5.32
9179,asst manager,10.0,WV,MORTGAGE,28000,60,20.39
9180,sales,10.0,FL,MORTGAGE,10000,36,19.42
9181,superintendent of schools,3.0,MN,OWN,35000,36,13.59
9182,research health science specialist ,10.0,UT,MORTGAGE,26000,36,10.91
9183,educational aide ,4.0,AL,MORTGAGE,8000,36,6.71
9184,translations engineer,10.0,PA,MORTGAGE,15000,36,7.34
9185,farm foreman,3.0,OH,MORTGAGE,16000,60,7.96
9186,nurse anesthetist,8.0,NJ,MORTGAGE,15000,36,5.31
9187,motor vehicle representative ,8.0,NY,MORTGAGE,6000,36,6.72
9188,,,FL,OWN,15000,36,6.08
9189,manager,10.0,NV,MORTGAGE,10000,60,18.45
9190,cyber security specialist,5.0,MD,MORTGAGE,15000,60,13.59
9191,service tech,10.0,OK,MORTGAGE,20000,36,10.42
9192,police officer,1.0,CA,MORTGAGE,16000,60,9.44
9193,superintendant,10.0,TX,MORTGAGE,15000,36,9.93
9194,technical support,5.0,CA,RENT,6300,36,7.34
9195,clerk,10.0,IN,MORTGAGE,32000,36,17.09
9196,bi analyst,7.0,CA,MORTGAGE,30000,60,9.43
9197,teacher,10.0,FL,RENT,11000,36,7.97
9198,coiled tubing supervisor,6.0,CO,MORTGAGE,20000,36,6.08
9199,dock worker,1.0,CA,RENT,2500,36,10.41
9200,accounting clerk,10.0,MI,MORTGAGE,18000,60,17.09
9201,special forces warrant officer,10.0,FL,MORTGAGE,3500,36,10.42
9202,manager,10.0,TX,MORTGAGE,15000,36,10.9
9203,police officer,10.0,WI,MORTGAGE,38000,60,7.34
9204,partner physician,10.0,CA,MORTGAGE,31200,60,9.93
9205,senior loan officer,3.0,MI,MORTGAGE,28000,60,16.02
9206,superintendent ,5.0,AZ,MORTGAGE,14000,36,9.92
9207,director ,6.0,NY,MORTGAGE,7200,36,11.98
9208,server engineer,7.0,NY,MORTGAGE,40000,36,6.08
9209,administration,10.0,MA,RENT,22000,36,5.32
9210,epic sr analyst,5.0,OK,MORTGAGE,36000,60,9.93
9211,owner & operator ,7.0,MA,MORTGAGE,30000,60,13.59
9212,owner ,0.0,FL,RENT,20000,36,9.44
9213,pharmacist,8.0,NC,RENT,8000,36,10.91
9214,library specialist,8.0,NM,OWN,15850,60,9.93
9215,"ecommerce, digital strategy ",7.0,CA,RENT,16000,60,21.85
9216,it professional,1.0,FL,MORTGAGE,13425,36,21.85
9217,project manager,0.0,MN,RENT,14000,36,10.91
9218,pharmcist,3.0,OH,RENT,32000,60,13.59
9219,owner,0.0,KS,OWN,20000,36,12.61
9220,managing attorney ,10.0,MA,MORTGAGE,20000,60,12.62
9221,senior enrollment specialist,7.0,CT,OWN,3000,36,16.02
9222,assistant ,10.0,NV,RENT,5000,36,10.42
9223,program manager,2.0,CT,RENT,4800,36,20.0
9224,form operator ,6.0,MA,RENT,7225,36,13.58
9225,home health aide,5.0,IL,RENT,15000,60,12.61
9226,vacation specialist,2.0,FL,RENT,10000,36,6.08
9227,senior police officer,10.0,CA,MORTGAGE,2400,36,13.58
9228,owner,10.0,AR,OWN,8000,36,7.96
9229,service technician,2.0,AK,MORTGAGE,20000,36,11.99
9230,ssgt / e-5,10.0,AZ,RENT,8000,36,16.01
9231,manager ,10.0,TX,MORTGAGE,24000,36,6.72
9232,machinist,0.0,OH,RENT,16000,60,17.09
9233,store manager,1.0,CA,RENT,30000,60,14.08
9234,accounts payable manager,4.0,KY,MORTGAGE,20000,60,7.34
9235,warehouse clerk,1.0,PA,OWN,4900,36,7.97
9236,events coordiantor,1.0,OK,RENT,9000,36,6.72
9237,field service engineer,0.0,OH,RENT,21000,36,15.04
9238,,,AZ,OWN,5625,36,7.96
9239,creative designer ,4.0,MI,RENT,10000,36,6.08
9240,faculty,5.0,IN,MORTGAGE,5000,36,6.08
9241,customer relations manager,5.0,MN,MORTGAGE,22875,36,18.45
9242,project manager,2.0,TX,OWN,20000,36,7.97
9243,it supervisor,10.0,OH,RENT,24000,60,9.44
9244,fire captain,10.0,CA,RENT,21125,36,13.58
9245,electrician,8.0,RI,MORTGAGE,10000,60,10.42
9246,home attender ,1.0,NY,RENT,6000,36,7.35
9247,radiologic technologist,10.0,NC,MORTGAGE,10000,36,10.91
9248,assistant parts manager,10.0,PA,OWN,24000,36,7.97
9249,own truckdriver,10.0,TX,OWN,25000,36,10.41
9250,business loan counselor officer,0.0,CA,RENT,15000,36,21.45
9251,retail manager,7.0,CA,RENT,15000,36,5.32
9252,carpenter ,9.0,IL,MORTGAGE,14000,60,15.05
9253,mobile support analyst,5.0,TX,RENT,13200,60,18.45
9254,software developper,3.0,WA,RENT,35000,36,12.61
9255,instructor,10.0,MD,MORTGAGE,20000,60,21.45
9256,,,TN,OWN,12000,60,9.44
9257,sales representative,0.0,CA,MORTGAGE,18000,36,6.07
9258,service manager,10.0,LA,MORTGAGE,11500,36,16.02
9259,courier,10.0,CT,RENT,6000,36,7.34
9260,network engineer ,10.0,NV,MORTGAGE,28000,60,7.96
9261,registered nurse,2.0,CO,MORTGAGE,21675,60,13.58
9262,heavy equipment operator ,0.0,TX,OWN,5000,36,9.93
9263,rn,10.0,MD,RENT,13000,36,13.59
9264,pharmacy technician ,5.0,TX,RENT,8800,36,10.41
9265,manager,3.0,LA,MORTGAGE,10000,36,10.41
9266,quality assurance manager,10.0,CA,RENT,30000,36,21.85
9267,account manager,4.0,MN,MORTGAGE,24000,36,9.93
9268,,,VA,RENT,7200,36,11.98
9269,marketing coordinator,4.0,GA,RENT,6000,36,9.44
9270,auditor,4.0,TX,RENT,2000,36,6.08
9271,graphic designer,8.0,OR,OWN,20000,36,7.35
9272,,,WA,MORTGAGE,2000,36,17.09
9273,,,CA,RENT,6000,36,19.03
9274,registered nurse,9.0,CA,RENT,10000,36,15.05
9275,handyman,10.0,NY,RENT,4000,36,10.42
9276,project manager,3.0,CA,RENT,6000,36,7.96
9277,operator,4.0,OR,MORTGAGE,30000,36,15.05
9278,directional driller,1.0,CO,MORTGAGE,40000,36,7.97
