,emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
7734,business consultant,10.0,MN,RENT,75000.0,Source Verified,19.3,,,,0,53.0,2000,1,36,12,93237,36227,0,0,,0,0,4,2,12.0,12,0.0,0,2,24200,19,8,2,3,97.2,0,0,debt_consolidation,individual,18000,36,6.08,548.25,A,A2,Jan-2018,Current,whole,Cash,15691.48,2735.17,2308.52,426.65,0.0
7739,clinical nurse,10.0,IL,OWN,120000.0,Not Verified,10.04,,,,0,29.0,1998,5,30,11,73599,43865,0,0,72.0,0,56,2,4,11.0,11,0.0,0,1,8500,23,9,3,1,70.0,0,0,debt_consolidation,individual,5000,36,9.93,161.18,B,B2,Jan-2018,Current,whole,Cash,4514.8,641.96,485.2,156.76,0.0
7740,,,PA,RENT,258240.0,Verified,1.33,,,,0,67.0,2003,2,19,9,30300,7060,0,0,,0,0,0,8,2.0,9,0.0,0,6,18300,15,9,8,1,94.1,0,0,credit_card,individual,5000,36,11.99,166.05,B,B5,Jan-2018,Current,whole,Cash,4528.63,679.19,471.37,207.82,0.0
7759,senior dpo,4.0,SC,OWN,120000.0,Source Verified,16.98,,,,0,69.0,2004,0,29,6,306663,46361,0,1,,0,0,3,4,13.0,6,0.0,0,2,45000,10,2,2,1,96.6,1,0,credit_card,individual,30000,36,6.72,922.48,A,A3,Jan-2018,Current,whole,Cash,26185.11,4601.2,3814.89,786.31,0.0
7762,electrical bench tester - lead,5.0,WA,RENT,82000.0,Source Verified,19.61,,,,0,29.0,2000,1,27,17,95028,62262,0,0,,0,694,2,9,12.0,17,0.0,0,7,21800,17,14,9,0,96.2,0,0,debt_consolidation,individual,15000,60,10.9,325.39,B,B4,Mar-2018,Current,whole,DirectPay,14427.41,958.0,572.59,385.41,0.0
7766,,,IL,MORTGAGE,166000.0,Source Verified,6.17,,,,0,49.0,2004,2,11,7,378250,12197,0,0,74.0,0,0,0,4,0.0,7,,0,4,27950,8,6,5,2,73.0,0,0,debt_consolidation,individual,30000,36,7.34,930.99,A,A4,Feb-2018,Current,whole,Cash,27743.79,2780.74,2256.21,524.53,0.0
7770,supervisor,8.0,NY,MORTGAGE,70000.0,Not Verified,2.91,,,,0,32.0,2011,6,17,12,13100,2718,0,0,,0,0,0,11,2.0,12,0.0,0,6,11400,12,11,6,0,94.1,0,0,home_improvement,individual,5000,36,10.41,162.31,B,B3,Feb-2018,Current,whole,Cash,4518.03,643.46,481.97,161.49,0.0
7776,senior bookkeeper,4.0,WV,OWN,47418.0,Source Verified,14.03,,,,0,57.0,2003,1,16,11,62536,14552,0,0,57.0,0,554,3,8,2.0,11,0.0,0,3,3400,11,7,5,1,93.8,0,0,credit_card,individual,2400,36,11.99,79.71,B,B5,Jan-2018,Current,fractional,Cash,2115.72,386.56,284.28,102.28,0.0
7777,highway trasportation specialist ii,10.0,NY,OWN,125000.0,Source Verified,8.09,,,,0,50.0,1999,1,18,12,102209,22784,0,0,50.0,0,0,1,8,10.0,12,0.0,0,5,77000,14,11,6,2,81.3,0,0,car,individual,36000,36,9.43,1152.01,B,B1,Feb-2018,Current,whole,Cash,33372.13,3437.17,2627.87,809.3,0.0
7784,director,8.0,FL,OWN,83000.0,Not Verified,0.36,,,,0,39.0,2005,0,5,2,5500,129,0,0,39.0,0,0,0,1,21.0,2,0.0,0,1,5500,4,2,1,0,80.0,0,0,major_purchase,individual,10000,36,7.97,313.23,A,A5,Jan-2018,Fully Paid,whole,Cash,0.0,10261.3018591705,10000.0,261.3,0.0
7788,laser technician 2,5.0,MO,OWN,68000.0,Source Verified,19.26,,,,0,60.0,2009,7,43,29,309164,102765,0,0,60.0,0,0,14,16,3.0,29,0.0,0,9,41400,14,14,12,1,95.1,0,0,debt_consolidation,individual,16000,36,9.43,512.01,B,B1,Mar-2018,Current,whole,DirectPay,14832.04,1519.27,1167.96,351.31,0.0
7799,,,CA,MORTGAGE,125000.0,Not Verified,17.38,,,,0,47.0,1984,2,28,14,509898,71078,0,0,69.0,0,0,2,5,6.0,14,0.0,0,10,50800,16,11,11,2,82.1,0,0,credit_card,individual,8000,36,10.9,261.54,B,B4,Feb-2018,Current,whole,Cash,7428.22,799.16,571.78,227.38,0.0
7802,owner,10.0,TN,OWN,80000.0,Not Verified,10.26,,,,0,73.0,2001,2,19,8,57911,31093,0,0,73.0,0,901,1,4,1.0,8,0.0,0,2,8800,14,6,5,1,84.2,0,0,credit_card,individual,8000,36,9.44,256.04,B,B1,Feb-2018,Current,whole,DirectPay,7218.56,1030.46,781.44,249.02,0.0
7806,it,8.0,MA,MORTGAGE,95000.0,Source Verified,19.44,175000.0,Source Verified,20.67,0,29.0,1995,0,19,9,439969,66449,0,0,,0,0,2,0,,9,0.0,0,3,115300,13,6,4,3,94.7,0,0,credit_card,joint,30000,36,5.32,903.45,A,A1,Jan-2018,Current,whole,Cash,26114.83,4508.38,3885.17,623.21,0.0
7815,"manager, workforce optimization",10.0,CA,MORTGAGE,110000.0,Not Verified,7.52,,,,0,34.0,2004,1,33,14,337370,26298,0,0,71.0,0,2972,7,4,8.0,14,0.0,0,0,800,12,6,2,3,92.9,0,0,home_improvement,individual,7200,36,6.72,221.4,A,A3,Jan-2018,Current,whole,Cash,6284.4,1104.31,915.6,188.71,0.0
7819,field supervisor,4.0,KY,MORTGAGE,72197.95,Not Verified,15.11,,,,0,37.0,2004,0,13,6,94843,17389,0,0,37.0,0,0,2,0,,6,0.0,0,2,8600,5,3,2,1,92.3,0,0,debt_consolidation,individual,21600,36,6.07,657.8,A,A2,Feb-2018,Current,whole,Cash,19946.04,1966.12,1653.96,312.16,0.0
7843,it director,10.0,MI,MORTGAGE,65000.0,Not Verified,15.98,,,,0,61.0,1989,2,13,4,265200,33589,0,0,77.0,0,0,2,0,6.0,4,0.0,0,1,21000,6,1,1,2,84.6,0,0,credit_card,individual,26000,60,10.91,564.14,B,B4,Feb-2018,Current,whole,DirectPay,24670.98,2272.32,1329.02,943.3,0.0
7851,beauty ambassador,0.0,NV,RENT,60000.0,Not Verified,17.08,,,,0,59.0,2006,2,19,5,95584,25128,0,0,,0,0,1,4,7.0,5,0.0,0,3,74800,11,4,3,0,100.0,0,0,debt_consolidation,individual,20000,60,11.99,444.79,B,B5,Feb-2018,Current,whole,Cash,19005.39,1752.52,994.61,757.91,0.0
7861,teacher,5.0,AZ,RENT,61000.0,Not Verified,14.69,,,,0,43.0,2008,2,19,15,42762,24293,0,0,,0,0,1,3,8.0,15,0.0,0,5,18100,15,14,8,0,89.5,0,0,debt_consolidation,individual,20000,36,5.31,602.21,A,A1,Mar-2018,Current,whole,DirectPay,18452.04,1818.43,1547.96,270.47,0.0
7868,territory manager,4.0,CA,RENT,84000.0,Source Verified,4.9,,,,0,77.0,2004,2,11,6,13800,11072,0,0,77.0,0,0,0,4,7.0,6,0.0,0,5,13000,7,6,6,1,63.6,0,0,debt_consolidation,individual,12000,36,10.41,389.53,B,B3,Mar-2018,Current,whole,Cash,11136.26,1161.65,863.74,297.91,0.0
7874,teacher,10.0,TN,MORTGAGE,75000.0,Not Verified,15.51,,,,0,56.0,1996,3,34,11,190958,26285,0,0,56.0,0,0,2,3,6.0,11,0.0,0,3,45600,13,8,5,5,83.9,0,0,credit_card,individual,4000,36,6.72,123.0,A,A3,Jan-2018,Current,fractional,Cash,3491.33,613.51,508.67,104.84,0.0
7878,sales,10.0,TX,RENT,140000.0,Not Verified,9.99,140000.0,Not Verified,20.52,0,78.0,1987,2,23,8,116950,40778,0,0,,0,0,1,4,7.0,8,0.0,0,3,53700,7,5,4,0,95.7,0,0,debt_consolidation,joint,25000,60,7.34,499.06,A,A4,Feb-2018,Current,whole,Cash,22970.25,2595.85,2029.75,566.1,0.0
7904,human resources manager,10.0,AL,MORTGAGE,52000.0,Source Verified,11.05,92280.0,Not Verified,11.08,0,78.0,2001,2,24,6,214350,15909,0,0,,0,316,1,3,4.0,6,0.0,0,0,5400,6,4,1,6,95.8,0,0,debt_consolidation,joint,12000,36,7.96,375.82,A,A5,Mar-2018,Current,whole,Cash,11105.43,1122.15,894.57,227.58,0.0
7906,sales mgr,3.0,FL,MORTGAGE,60000.0,Not Verified,17.75,,,,0,29.0,1999,1,29,12,197562,26976,0,0,75.0,0,0,2,4,7.0,12,0.0,0,5,12900,18,9,7,3,82.1,0,0,debt_consolidation,individual,12000,36,9.43,384.01,B,B1,Mar-2018,Current,whole,Cash,11124.02,1155.17,875.98,279.19,0.0
7926,full professor,10.0,FL,MORTGAGE,76000.0,Verified,11.08,,,,0,25.0,2003,0,12,6,258800,4848,0,0,,0,125,1,3,,6,0.0,0,0,14000,9,4,0,1,91.7,0,0,medical,individual,28000,36,7.34,868.92,A,A4,Mar-2018,Current,whole,Cash,25894.21,2583.92,2105.79,478.13,0.0
7954,area manager,5.0,FL,RENT,103000.0,Not Verified,11.92,,,,0,66.0,1998,0,22,10,48753,30424,0,0,,0,0,2,2,16.0,10,0.0,0,2,10000,16,8,7,0,95.5,0,0,credit_card,individual,18000,36,9.44,576.09,B,B1,Jan-2018,Current,whole,Cash,15793.1,2871.01,2206.9,664.11,0.0
7966,,,NJ,MORTGAGE,75000.0,Not Verified,19.75,,,,0,65.0,2001,3,27,15,369983,30126,0,0,,0,0,3,6,2.0,15,0.0,0,7,52000,12,10,7,6,96.0,0,0,debt_consolidation,individual,10000,36,6.08,304.59,A,A2,Feb-2018,Current,fractional,Cash,8976.56,1214.98,1023.44,191.54,0.0
7969,nurse,8.0,PA,MORTGAGE,80000.0,Source Verified,13.97,,,,0,51.0,1998,5,44,14,205734,54215,0,0,,0,138,6,10,3.0,14,0.0,0,2,14200,17,7,3,8,100.0,0,0,home_improvement,individual,8000,36,6.72,246.0,A,A3,Jan-2018,Current,whole,Cash,6982.67,1227.01,1017.33,209.68,0.0
7996,president,10.0,NY,MORTGAGE,67600.0,Verified,17.84,,,,0,53.0,2004,5,18,12,136906,30244,0,0,74.0,0,0,2,6,1.0,12,0.0,0,8,33200,10,9,9,4,88.9,0,0,debt_consolidation,individual,20000,36,10.41,649.21,B,B3,Feb-2018,Current,whole,Cash,18560.45,1936.06,1439.55,496.51,0.0
8008,sr vice president,10.0,TX,OWN,200000.0,Source Verified,16.18,,,,0,25.0,1987,1,41,14,389049,122306,0,0,,0,0,2,2,11.0,14,0.0,0,6,72000,22,9,6,2,97.6,0,0,debt_consolidation,individual,30000,36,9.43,960.01,B,B1,Mar-2018,Current,whole,Cash,28545.79,1888.59,1454.21,434.38,0.0
8041,project engineer,1.0,CO,RENT,85000.0,Not Verified,11.92,,,,0,67.0,1996,3,17,6,43712,34523,0,0,47.0,0,0,3,3,0.0,5,,0,3,7350,8,2,2,0,71.0,0,0,credit_card,individual,10000,36,11.99,332.1,B,B5,Jan-2018,Current,whole,Cash,8815.65,1653.84,1184.35,469.49,0.0
8043,,,CA,RENT,32112.0,Verified,18.61,,,,0,63.0,2007,1,17,7,38700,13918,0,0,63.0,0,434,0,7,6.0,7,0.0,0,4,19800,14,6,4,0,94.1,0,0,debt_consolidation,individual,14000,36,11.98,464.87,B,B5,Mar-2018,Current,whole,Cash,13014.92,1385.29,985.08,400.21,0.0
8050,customer service/sales associate,10.0,OH,RENT,54000.0,Not Verified,8.22,,,,0,53.0,1993,8,20,10,51226,44986,0,0,76.0,0,91,2,0,1.0,10,0.0,0,2,12500,10,8,3,0,94.7,0,0,debt_consolidation,individual,11500,60,9.44,241.19,B,B1,Feb-2018,Current,whole,Cash,10889.96,949.68,610.04,339.64,0.0
8054,medical education specialist,10.0,FL,MORTGAGE,80000.0,Not Verified,9.17,,,,0,49.0,1997,1,22,12,42648,18328,0,1,49.0,0,0,2,5,1.0,12,0.0,0,3,21900,15,10,3,2,90.9,0,1,home_improvement,individual,7500,36,9.44,240.04,B,B1,Jan-2018,Current,fractional,Cash,6580.45,1192.33,919.55,272.78,0.0
8069,shipping forklift driver,10.0,WI,RENT,77000.0,Source Verified,11.92,,,,0,57.0,1995,0,18,5,55800,32347,0,0,57.0,0,0,1,3,18.0,5,0.0,0,3,29000,10,4,3,1,94.4,0,0,credit_card,individual,15000,36,10.91,490.45,B,B4,Feb-2018,Current,whole,Cash,13564.27,1952.71,1435.73,516.98,0.0
8074,principal,10.0,MS,MORTGAGE,170000.0,Source Verified,8.67,,,,0,53.0,2001,2,24,9,323047,39730,0,1,,0,0,1,6,6.0,9,0.0,0,4,17500,16,6,5,4,91.3,0,1,debt_consolidation,individual,30000,36,10.42,973.95,B,B3,Feb-2018,Current,whole,Cash,27108.81,3861.07,2891.19,969.88,0.0
8088,,,CA,RENT,76000.0,Not Verified,18.88,,,,0,48.0,2011,0,13,6,43707,13577,0,0,,0,0,2,0,,6,0.0,0,2,10000,7,3,3,0,92.3,0,0,credit_card,individual,16000,36,9.44,512.08,B,B1,Feb-2018,Current,whole,Cash,14436.82,2039.93,1563.18,476.75,0.0
8092,annalyst,10.0,AL,MORTGAGE,55000.0,Source Verified,18.92,,,,0,76.0,1999,1,23,6,155770,79141,0,0,,0,0,2,1,0.0,6,0.0,0,3,15500,14,3,3,3,95.5,0,0,credit_card,individual,11700,60,11.99,260.21,B,B5,Feb-2018,Current,whole,DirectPay,11040.27,1105.15,659.73,445.42,0.0
8094,,,NV,OWN,70000.0,Source Verified,12.74,82000.0,Not Verified,10.87,0,55.0,2002,1,14,7,49544,25081,0,3,55.0,0,0,1,2,1.0,7,0.0,0,1,4800,10,6,3,0,92.9,3,0,other,joint,15000,36,9.92,483.45,B,B2,Mar-2018,Current,whole,Cash,13912.71,1442.08,1087.29,354.79,0.0
8108,load crew chief,6.0,AZ,MORTGAGE,54000.0,Source Verified,11.36,,,,0,49.0,2005,1,18,10,305765,16971,0,0,,0,0,3,4,9.0,10,0.0,0,2,24000,9,6,2,1,94.4,0,0,debt_consolidation,individual,12500,36,7.96,391.48,A,A5,Mar-2018,Current,whole,Cash,11568.16,1168.91,931.84,237.07,0.0
8123,registered nurse,4.0,CA,MORTGAGE,89000.0,Source Verified,11.24,,,,0,41.0,1996,2,19,7,200165,24250,0,0,50.0,0,0,2,5,6.0,7,0.0,0,2,10500,10,4,3,5,73.7,0,0,house,individual,6000,36,11.98,199.23,B,B5,Mar-2018,Current,whole,Cash,5719.95,394.47,280.05,114.42,0.0
8132,administrative nursing supervisor ,10.0,MS,MORTGAGE,70000.0,Not Verified,12.31,,,,0,36.0,2000,3,45,16,248430,14699,0,0,,0,7134,1,10,7.0,16,0.0,0,4,18500,23,13,6,4,97.8,0,0,credit_card,individual,10000,36,7.35,310.38,A,A4,Jan-2018,Current,fractional,Cash,8739.0,1547.82,1261.0,286.82,0.0
8137,director of quality assurance,5.0,CA,MORTGAGE,110000.0,Verified,5.48,,,,0,47.0,2007,4,14,9,352668,22007,0,0,64.0,0,0,1,3,7.0,9,0.0,0,4,3200,7,6,6,2,85.7,0,0,debt_consolidation,individual,5000,36,9.92,161.15,B,B2,Mar-2018,Current,fractional,Cash,4637.57,477.94,362.43,115.51,0.0
8144,product specialist ,5.0,TX,RENT,37000.0,Not Verified,11.06,,,,0,72.0,2005,1,34,18,72256,13611,0,0,,0,0,1,7,2.0,18,0.0,0,7,50700,27,17,8,0,97.1,0,0,debt_consolidation,individual,7500,36,7.97,234.92,A,A5,Feb-2018,Current,fractional,Cash,6752.16,936.36,747.84,188.52,0.0
8148,software management directo,5.0,TX,MORTGAGE,150000.0,Not Verified,14.32,,,,0,35.0,1992,3,11,7,96800,54464,0,0,38.0,0,0,2,2,1.0,7,0.0,0,3,32300,8,5,5,1,90.9,0,0,debt_consolidation,individual,15000,36,7.97,469.84,A,A5,Jan-2018,Fully Paid,whole,Cash,0.0,15445.8047553196,15000.0,445.8,0.0
8150,ehr applications analyst iii,10.0,MA,RENT,93000.0,Not Verified,13.56,,,,0,25.0,2007,0,29,15,64800,39391,0,0,25.0,0,0,7,3,18.0,15,0.0,0,7,37300,10,8,8,0,57.1,0,0,debt_consolidation,individual,40000,36,10.91,1307.85,B,B4,Feb-2018,Current,fractional,Cash,36171.45,5207.16,3828.55,1378.61,0.0
8157,project manager,7.0,WV,MORTGAGE,36000.0,Not Verified,15.33,78000.0,Not Verified,11.34,0,69.0,2001,2,46,21,179084,38902,0,0,,0,0,12,3,7.0,21,0.0,0,5,36600,18,8,7,2,97.8,0,0,credit_card,joint,19000,60,7.34,379.28,A,A4,Mar-2018,Current,whole,Cash,18472.26,750.81,527.74,223.07,0.0
8165,accountant,10.0,TX,MORTGAGE,85500.0,Source Verified,12.37,,,,0,35.0,1990,3,30,21,214726,29562,0,0,,0,0,1,2,6.0,21,0.0,0,7,106300,24,18,10,1,96.7,0,0,home_improvement,individual,30000,60,9.93,636.38,B,B2,Jan-2018,Current,whole,Cash,28026.97,3140.52,1973.03,1167.49,0.0
8173,director of programs and education,2.0,TN,MORTGAGE,150000.0,Verified,15.85,,,,0,40.0,1998,3,49,22,250416,120284,0,0,40.0,0,0,9,11,8.0,22,0.0,0,4,6000,19,12,9,1,97.7,0,0,credit_card,individual,40000,36,10.91,1307.85,B,B4,Jan-2018,Current,fractional,Cash,35192.46,6534.92,4807.54,1727.38,0.0
8185,tax analyst,9.0,CT,MORTGAGE,95800.0,Not Verified,7.27,,,,0,34.0,2006,0,27,15,42200,10852,0,0,34.0,0,0,1,0,,15,0.0,0,4,18700,18,14,5,5,88.9,0,0,home_improvement,individual,15000,60,9.44,314.59,B,B1,Jan-2018,Current,whole,Cash,14001.46,1557.22,998.54,558.68,0.0
8241,associate vice president,10.0,NC,MORTGAGE,205000.0,Source Verified,12.36,,,,0,32.0,1986,1,42,18,455099,90716,0,0,,0,0,1,10,3.0,18,0.0,0,5,115000,32,16,8,3,95.2,0,0,credit_card,individual,40000,36,5.32,1204.6,A,A1,Mar-2018,Current,whole,DirectPay,36904.52,3590.16,3095.48,494.68,0.0
8259,project manager,10.0,TX,MORTGAGE,100000.0,Source Verified,7.96,,,,0,67.0,1999,1,12,5,141450,16016,0,0,75.0,0,0,1,2,11.0,5,0.0,0,2,9000,4,3,3,3,88.9,0,0,debt_consolidation,individual,20000,36,11.98,664.1,B,B5,Mar-2018,Current,whole,Cash,18592.74,1978.99,1407.26,571.73,0.0
8261,manager,0.0,CO,RENT,100000.0,Source Verified,17.86,,,,0,35.0,2004,0,12,4,166240,39650,0,0,,0,558,2,0,,4,0.0,0,1,6500,3,1,1,1,83.3,0,0,other,individual,40000,60,9.43,838.71,B,B1,Feb-2018,Current,whole,Cash,37877.64,3333.88,2122.36,1211.52,0.0
8277,housekeeper,6.0,CA,RENT,35000.0,Verified,19.43,,,,0,76.0,1994,1,20,13,24600,16017,0,1,76.0,0,0,0,1,9.0,13,0.0,0,9,19600,18,13,11,1,95.0,0,1,debt_consolidation,individual,10000,36,10.9,326.92,B,B4,Mar-2018,Current,whole,Cash,9523.51,649.94,476.49,173.45,0.0
8290,vice president of marketing / co founder,2.0,OK,MORTGAGE,132000.0,Not Verified,19.1,207000.0,Not Verified,23.86,0,28.0,1997,2,36,25,445631,101363,0,0,,0,0,5,8,3.0,25,0.0,0,6,80200,20,15,9,5,91.7,0,0,debt_consolidation,joint,26000,60,10.42,557.82,B,B3,Feb-2018,Current,whole,Cash,24654.39,2216.23,1345.61,870.62,0.0
8292,nurse,10.0,MO,MORTGAGE,40000.0,Not Verified,5.76,,,,0,46.0,1990,0,14,8,13700,4609,0,1,,0,0,0,3,23.0,8,0.0,0,1,3000,12,8,5,0,92.9,0,1,credit_card,individual,5000,36,10.42,162.33,B,B3,Jan-2018,Current,whole,Cash,4395.02,788.5,604.98,183.52,0.0
8306,office assistant iii,10.0,WV,MORTGAGE,300000.0,Not Verified,3.33,,,,0,79.0,1999,1,19,5,55257,43981,0,0,,0,0,1,5,9.0,5,0.0,0,3,10400,16,4,4,1,94.7,0,0,debt_consolidation,individual,8000,36,9.43,256.01,B,B1,Mar-2018,Current,fractional,DirectPay,7365.87,813.84,634.13,179.71,0.0
8322,registered nurse,4.0,NY,RENT,90000.0,Not Verified,3.68,,,,0,37.0,2006,3,49,26,83456,83585,0,0,,0,0,18,8,1.0,26,0.0,0,4,11300,18,8,5,0,100.0,0,0,credit_card,individual,8500,36,10.91,277.92,B,B4,Feb-2018,Current,whole,Cash,7686.43,1101.38,813.57,287.81,0.0
8333, director of engineering,10.0,CT,MORTGAGE,185000.0,Not Verified,15.47,,,,0,33.0,1995,4,29,19,521686,78843,0,0,33.0,0,0,6,6,6.0,19,0.0,0,7,52500,19,10,8,1,89.7,0,0,debt_consolidation,individual,23100,36,6.72,710.31,A,A3,Feb-2018,Current,fractional,Cash,20756.61,2832.62,2343.39,489.23,0.0
8334,"director, it support operations",9.0,OK,OWN,180000.0,Source Verified,5.06,,,,0,79.0,2005,2,19,8,237912,15001,0,0,,0,0,0,7,8.0,8,0.0,0,3,35300,6,5,3,3,94.7,0,0,debt_consolidation,individual,35000,36,6.08,1066.04,A,A2,Jan-2018,Current,whole,Cash,30511.21,5318.38,4488.79,829.59,0.0
8335,general amnger,3.0,TX,RENT,65000.0,Verified,13.64,,,,0,50.0,2010,2,16,4,56924,49116,0,0,75.0,0,882,1,3,2.0,4,0.0,0,0,1000,2,2,0,0,87.5,0,0,other,individual,30000,36,11.98,996.15,B,B5,Mar-2018,Current,whole,Cash,28599.75,1972.33,1400.25,572.08,0.0
8340,director of female reproductive services,6.0,TX,MORTGAGE,112000.0,Not Verified,15.27,,,,0,79.0,2003,1,10,5,43808,18698,0,0,79.0,0,0,1,2,3.0,5,0.0,0,2,17500,5,4,2,0,90.0,0,0,credit_card,individual,15000,36,9.44,480.08,B,B1,Jan-2018,Current,fractional,Cash,13534.5,1912.45,1465.5,446.95,0.0
8355,program director,3.0,CA,RENT,59000.0,Source Verified,0.66,,,,0,41.0,1996,0,53,18,182827,125380,0,0,54.0,0,0,8,12,,18,0.0,0,3,59400,20,9,3,0,92.3,0,0,other,individual,12000,36,6.71,368.94,A,A3,Feb-2018,Current,whole,Cash,11089.41,1102.35,910.59,191.76,0.0
8365,implementation consultant,10.0,CA,MORTGAGE,137200.0,Source Verified,18.75,,,,0,41.0,1995,3,14,7,500018,68509,0,0,,0,0,1,1,2.0,7,0.0,0,4,28400,8,4,4,4,100.0,0,0,credit_card,individual,35000,36,6.72,1076.23,A,A3,Jan-2018,Current,whole,Cash,31449.39,4291.85,3550.61,741.24,0.0
8389,analytic researcher,0.0,OK,MORTGAGE,55000.0,Source Verified,8.6,,,,0,43.0,2004,5,17,9,165936,12971,0,0,,0,0,1,6,5.0,9,0.0,0,3,16600,7,7,3,3,94.1,0,0,debt_consolidation,individual,16000,36,7.96,501.09,A,A5,Mar-2018,Current,whole,Cash,14807.25,1506.28,1192.75,313.53,0.0
8418,admin assist,10.0,NJ,OWN,61000.0,Source Verified,6.9,,,,0,51.0,2000,4,57,24,54000,9004,0,0,51.0,0,0,0,14,1.0,24,0.0,0,2,21000,43,24,6,1,98.1,0,0,credit_card,individual,14000,60,9.93,296.98,B,B2,Jan-2018,Current,whole,Cash,13266.44,1180.2,733.56,446.64,0.0
8421,shift lead,3.0,CA,RENT,60000.0,Not Verified,13.26,,,,0,48.0,2007,0,12,8,52590,29360,0,0,,0,0,1,6,17.0,8,0.0,0,4,21800,8,7,6,0,90.9,0,0,credit_card,individual,10000,36,7.97,313.23,A,A5,Jan-2018,Current,whole,Cash,8030.81,2255.08,1969.19,285.89,0.0
8426,registered nurse,9.0,GA,MORTGAGE,160000.0,Verified,10.37,,,,0,35.0,1988,2,42,24,563238,49274,0,2,49.0,0,1070,3,6,6.0,24,0.0,0,10,70400,27,18,11,2,97.5,2,0,moving,individual,15000,36,9.44,480.08,B,B1,Jan-2018,Current,whole,Cash,13160.89,2384.67,1839.11,545.56,0.0
8429,nursing assistance gna,4.0,MD,RENT,30000.0,Verified,19.83,,,,0,36.0,2002,3,26,12,28042,10739,0,1,,0,0,3,7,0.0,12,0.0,0,2,7700,21,9,6,0,100.0,0,1,other,individual,1800,36,10.9,58.85,B,B4,Mar-2018,Current,fractional,Cash,1671.34,175.46,128.66,46.8,0.0
8443,engineer,1.0,FL,MORTGAGE,80000.0,Source Verified,13.65,,,,0,55.0,2005,0,25,10,69570,50352,0,1,,0,0,2,7,13.0,10,0.0,0,5,22900,17,8,6,1,96.0,0,1,credit_card,individual,16000,60,11.98,355.75,B,B5,Mar-2018,Current,whole,DirectPay,15406.06,1056.6,593.94,462.66,0.0
8448,program manager,10.0,NC,MORTGAGE,78000.0,Source Verified,15.08,,,,0,46.0,1996,5,32,18,291340,29252,0,0,,0,0,3,7,6.0,18,0.0,0,3,27100,19,13,6,3,96.9,0,0,debt_consolidation,individual,13500,36,6.07,411.13,A,A2,Feb-2018,Current,whole,Cash,12118.19,1635.42,1381.81,253.61,0.0
8451,merchandise,3.0,AZ,MORTGAGE,35000.0,Source Verified,12.83,213000.0,Not Verified,10.05,0,37.0,1972,5,25,8,273515,14172,0,0,,0,0,1,1,5.0,8,0.0,0,0,39600,17,6,3,4,96.0,0,0,debt_consolidation,joint,10000,36,6.08,304.59,A,A2,Jan-2018,Current,fractional,Cash,8717.45,1519.57,1282.55,237.02,0.0
8466,it,2.0,CA,RENT,60000.0,Not Verified,16.33,,,,0,34.0,2006,0,29,14,87978,41771,0,0,34.0,0,0,7,5,,14,0.0,0,3,37200,12,6,4,0,89.7,0,0,major_purchase,individual,3600,36,6.08,109.65,A,A2,Feb-2018,Fully Paid,whole,Cash,0.0,3608.508,3600.0,8.51,0.0
8474,manager,3.0,MD,MORTGAGE,75000.0,Source Verified,17.97,,,,0,34.0,2003,2,46,23,139543,49049,0,0,34.0,0,0,1,7,3.0,23,0.0,0,8,81200,42,22,10,2,95.7,0,0,debt_consolidation,individual,40000,36,9.44,1280.2,B,B1,Feb-2018,Current,whole,Cash,36092.05,5068.36,3907.95,1160.41,0.0
8478,mailroom/ site manager,3.0,CT,RENT,60000.0,Source Verified,19.96,,,,0,61.0,2002,2,25,11,60999,39652,0,0,,0,268,2,6,11.0,11,0.0,0,5,22400,14,9,8,0,96.0,0,0,debt_consolidation,individual,12000,36,10.9,392.3,B,B4,Feb-2018,Current,whole,Cash,11142.36,1169.63,857.64,311.99,0.0
8512,manager,10.0,TX,MORTGAGE,71000.0,Not Verified,18.8,,,,0,56.0,2001,1,16,9,234532,110530,0,1,56.0,0,0,4,3,9.0,9,0.0,0,2,18300,6,4,2,1,87.5,1,0,credit_card,individual,5000,36,9.43,160.01,B,B1,Mar-2018,Current,whole,Cash,4634.99,477.41,365.01,112.4,0.0
8515,fire hydrant tech,5.0,TX,MORTGAGE,37000.0,Source Verified,0.81,,,,0,39.0,2008,1,8,3,120667,28,0,0,66.0,0,0,0,2,2.0,3,0.0,0,1,1500,3,2,1,3,75.0,0,0,other,individual,3000,36,9.43,96.01,B,B1,Mar-2018,Current,whole,Cash,2780.98,284.89,219.02,65.87,0.0
